,Cloud Top Height,Cloud Top Temperature,Cloud Top Phase,Shortwave Albedo,Long Wave Flux,Ice Water Path,Cloud Particle Size,RF
2018-02-24 01:55:00,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:55:10,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:55:20,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:55:30,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:55:40,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:55:50,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:56:00,4.5005645751953125,-4.087133789062477,1.0,58.4054069519043,228.7780303955078,287.80877685546875,11.676406860351562,RF15
2018-02-24 01:56:10,,,,,,,,RF15
2018-02-24 01:56:20,,,,,,,,RF15
2018-02-24 01:56:30,,,,,,,,RF15
2018-02-24 01:56:40,,,,,,,,RF15
2018-02-24 01:56:50,,,,,,,,RF15
2018-02-24 01:57:00,,,,,,,,RF15
2018-02-24 01:57:10,,,,,,,,RF15
2018-02-24 01:57:20,,,,,,,,RF15
2018-02-24 01:57:30,,,,,,,,RF15
2018-02-24 01:57:40,,,,,,,,RF15
2018-02-24 01:57:50,,,,,,,,RF15
2018-02-24 01:58:00,,,,,,,,RF15
2018-02-24 01:58:10,,,,,,,,RF15
2018-02-24 01:58:20,,,,,,,,RF15
2018-02-24 01:58:30,,,,,,,,RF15
2018-02-24 01:58:40,,,,,,,,RF15
2018-02-24 01:58:50,,,,,,,,RF15
2018-02-24 01:59:00,,,,,,,,RF15
2018-02-24 01:59:10,,,,,,,,RF15
2018-02-24 01:59:20,,,,,,,,RF15
2018-02-24 01:59:30,,,,,,,,RF15
2018-02-24 01:59:40,,,,,,,,RF15
2018-02-24 01:59:50,,,,,,,,RF15
2018-02-24 02:00:00,,,,,,,,RF15
2018-02-24 02:00:10,,,,,,,,RF15
2018-02-24 02:00:20,,,,,,,,RF15
2018-02-24 02:00:30,,,,,,,,RF15
2018-02-24 02:00:40,,,,,,,,RF15
2018-02-24 02:00:50,,,,,,,,RF15
2018-02-24 02:01:00,,,,,,,,RF15
2018-02-24 02:01:10,,,,,,,,RF15
2018-02-24 02:01:20,,,,,,,,RF15
2018-02-24 02:01:30,,,,,,,,RF15
2018-02-24 02:01:40,,,,,,,,RF15
2018-02-24 02:01:50,,,,,,,,RF15
2018-02-24 02:02:00,,,,,,,,RF15
2018-02-24 02:02:10,,,,,,,,RF15
2018-02-24 02:02:20,,,,,,,,RF15
2018-02-24 02:02:30,,,,,,,,RF15
2018-02-24 02:02:40,,,,,,,,RF15
2018-02-24 02:02:50,,,,,,,,RF15
2018-02-24 02:03:00,,,,,,,,RF15
2018-02-24 02:03:10,,,,,,,,RF15
2018-02-24 02:03:20,,,,,,,,RF15
2018-02-24 02:03:30,,,,,,,,RF15
2018-02-24 02:03:40,,,,,,,,RF15
2018-02-24 02:03:50,,,,,,,,RF15
2018-02-24 02:04:00,,,,,,,,RF15
2018-02-24 02:04:10,,,,,,,,RF15
2018-02-24 02:04:20,,,,,,,,RF15
2018-02-24 02:04:30,,,,,,,,RF15
2018-02-24 02:04:40,,,,,,,,RF15
2018-02-24 02:04:50,,,,,,,,RF15
2018-02-24 02:05:00,,,,,,,,RF15
2018-02-24 02:05:00,,,,,,,,RF15
